,Game,Total,Twitch_Year,Genre
378,Prison Architect,627658.9419869999,2017,Action
379,Pro Evolution Soccer 2016,339455.63484,2016,Sports
380,Pro Evolution Soccer 2017,570733.060128,2016,Sports
381,Puzzle & Dragons,4025325.647007,2016,Role-Playing
382,Puzzle & Dragons,522842.526108,2017,Role-Playing
383,Quantum Break,33473102.269026,2016,Action
384,RPG Maker,996435.089538,2016,Role-Playing
385,RPG Maker,335634.19537200005,2017,Role-Playing
386,Ratchet & Clank,13358598.92073,2016,Platform
387,Rayman Legends,1693945.7619,2016,Platform
388,ReCore,2137436.05992,2016,Action
389,Red Dead Redemption,5667402.372029999,2016,Action
390,Red Dead Redemption,11420172.441594,2018,Action
391,Resident Evil,10233722.177595,2016,Action
392,Resident Evil,952560.19908,2017,Action
393,Resident Evil,7041017.754225,2019,Action
394,Resident Evil,24116483.893698003,2021,Action
395,Resident Evil 2,604614.751062,2016,Action
396,Resident Evil 2,532050.534855,2017,Action
397,Resident Evil 2,4318079.076905999,2018,Action
398,Resident Evil 2,7326375469.435513,2019,Action
399,Resident Evil 2,111627595.422084,2020,Action
400,Resident Evil 2,56949927.918471,2021,Action
401,Resident Evil 3: Nemesis,348011.843928,2016,Action
402,Resident Evil 3: Nemesis,2168902.83225,2019,Action
403,Resident Evil 4,3097612.453404,2016,Action
404,Resident Evil 4,3538824.788184,2017,Action
405,Resident Evil 4,16513252.542003,2018,Action
406,Resident Evil 4,2471204.687931,2019,Action
407,Resident Evil 4,4787628.444837,2020,Action
408,Resident Evil 4,18794735.632638,2021,Action
409,Resident Evil 5,2023146.635181,2016,Action
410,Resident Evil 5,3926145.486879,2017,Action
411,Resident Evil Zero,4176599.013006,2016,Action
412,Resident Evil: Revelations 2,1659345.0079920003,2016,Action
413,Rise of the Tomb Raider,17152622.39775,2016,Adventure
414,Rise of the Tomb Raider,1711360.4786039998,2018,Adventure
415,Rock Band 4,1311638.522166,2016,Misc
416,Rock Band 4,1188249.372366,2017,Misc
417,Rocket League,931492302.886908,2016,Sports
418,Rocket League,3060529808.835828,2017,Sports
419,Rocket League,4888556016.262107,2018,Sports
420,Rocket League,6339925764.827929,2019,Sports
421,Rocket League,44254778385.865616,2020,Sports
422,Rocket League,73753154153.74817,2021,Sports
423,RollerCoaster Tycoon 2,301910.119812,2016,Strategy
424,RollerCoaster Tycoon World,649328.201361,2016,Simulation
425,S.T.A.L.K.E.R.: Call of Pripyat,305571.720195,2016,Shooter
426,S.T.A.L.K.E.R.: Call of Pripyat,2556477.5702130003,2017,Shooter
427,Secret of Mana,1519967.9754,2016,Role-Playing
428,Secret of Mana,4353117.239499001,2018,Role-Playing
429,Shadow of the Colossus,427924.809921,2016,Action
430,Shadow of the Colossus,221633707.591296,2018,Action
431,Sid Meier's Civilization V,30845741.198076,2016,Strategy
432,Sid Meier's Civilization V,14226114.049623,2017,Strategy
433,Sid Meier's Civilization V,9941588.689935,2018,Strategy
434,Sid Meier's Civilization V,13253046.109548,2019,Strategy
435,Silent Hill,615709.412997,2016,Action
436,Silent Hill 2,941501.6369639998,2016,Action
437,Silent Hill 2,1042909.198506,2018,Action
438,Silent Hill 3,442622.451432,2016,Action
439,Silent Hill: Downpour,960945.261276,2016,Action
440,Sonic Advance,726714.9528029999,2016,Platform
441,Sonic the Hedgehog,1316668.58799,2016,Platform
442,South Park: The Stick of Truth,4397723.336601,2016,Role-Playing
443,South Park: The Stick of Truth,4903164.94563,2017,Role-Playing
444,Splatoon,4955982.907806001,2016,Shooter
445,Spyro: Year of the Dragon,583293.8888490001,2016,Platform
446,Spyro: Year of the Dragon,1488801.8298719998,2017,Platform
447,Star Wars: Knights of the Old Republic,800973.274059,2016,Role-Playing
448,Star Wars: Knights of the Old Republic,4165630.5033,2020,Role-Playing
449,Star Wars: The Old Republic,2038240.349586,2016,Role-Playing
450,Star Wars: The Old Republic,1143195.741597,2017,Role-Playing
451,Star Wars: The Old Republic,43261969.657452,2021,Role-Playing
452,Stellaris,43742330.850204,2016,Strategy
453,Stellaris,5578636.56021,2017,Strategy
454,Stellaris,12974892.351708,2018,Strategy
455,Stellaris,3019853.285568,2019,Strategy
456,Stellaris,6705413.539523999,2020,Strategy
457,Street Fighter V,2631379099.5761013,2016,Fighting
458,Street Fighter V,1337796816.143592,2017,Fighting
459,Street Fighter V,1766942868.731691,2018,Fighting
460,Street Fighter V,994918418.300898,2019,Fighting
461,Street Fighter V,833563808.946687,2020,Fighting
462,Street Fighter V,1075514797.8528872,2021,Fighting
463,Super Mario 3D World,599477.6632320001,2016,Platform
464,Super Mario 3D World,3025309.9884840003,2018,Platform
465,Super Mario 3D World,25439914.6449,2021,Platform
466,Super Mario 64,44799134.015832,2016,Platform
467,Super Mario 64,165109900.327659,2017,Platform
468,Super Mario 64,52440452.348298,2018,Platform
469,Super Mario 64,130219135.56666,2019,Platform
470,Super Mario 64,863179592.770026,2020,Platform
471,Super Mario 64,1039148642.021469,2021,Platform
472,Super Mario Bros.,1326517.987536,2016,Platform
473,Super Mario Bros.,1202431.5072,2017,Platform
474,Super Mario Bros. 3,6300984.286548,2016,Platform
475,Super Mario Bros. 3,1545835.4907449998,2017,Platform
